old_code,old_name,old_name_ja,new_code,new_name,new_name_ja,merged_year,confidence,source
30407,Kushimoto-cho,串本町,30428,Kushimoto-cho,串本町,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
37421,Takase-cho,高瀬町,37208,Mitoyo-shi,三豊市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
39207,Nakamura-shi,中村市,39210,Shimanto-shi,四万十市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
39323,Tosayamada-cho,土佐山田町,39212,Kami-shi,香美市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
40208,Yamada-shi,山田市,40227,Kama-shi,嘉麻市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
40209,Amagi-shi,甘木市,40625,Miyako-machi,みやこ町,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
40222,Maebaru-shi,前原市,40230,Itoshima-shi,糸島市,2010,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
40403,Miyata-machi,宮田町,40226,Miyawaka-shi,宮若市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
40561,Setaka-machi,瀬高町,40229,Miyama-shi,みやま市,2007,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
41321,Kanzaki-machi,神埼町,41210,Kanzaki-shi,神埼市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
43207,Hondo-shi,本渡市,43215,Amakusa-shi,天草市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
43405,Koshi-machi,合志町,43216,Koshi-shi,合志市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
45303,Sadowara-cho,佐土原町,45431,Misato-cho,美郷町,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46205,Kushikino-shi,串木野市,46219,Ichikikushikino-shi,いちき串木野市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46207,Naze-shi,名瀬市,46222,Amami-shi,奄美市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46209,Okuchi-shi,大口市,46224,Isa-shi,伊佐市,2008,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46211,Kaseda-shi,加世田市,46220,Minamisatsuma-shi,南さつま市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46212,Kokubu-shi,国分市,46220,Minamisatsuma-shi,南さつま市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
46441,Kajiki-cho,加治木町,46225,Aira-shi,姶良市,2010,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
47202,Ishikawa-shi,石川市,47213,Uruma-shi,うるま市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
47206,Hirara-shi,平良市,47214,Miyakojima-shi,宮古島市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
47343,Kochinda-cho,東風平町,47215,Nanjo-shi,南城市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
