station_id,name,name_ja,name_source,lat,lng,pref,operators,merge_confidence,member_count
st_00077,Shin-Toyosu,新豊洲,odpt,35.648710,139.790010,Tokyo,Yurikamome,single,1
st_00078,Hinode,日の出,odpt,35.649230,139.759080,Tokyo,Yurikamome,single,1
st_00079,Hiro-o,広尾,odpt,35.651499,139.722209,Tokyo,Tokyo Metro,single,1
st_00080,Toyosu,豊洲,odpt,35.654446,139.795727,Tokyo,Tokyo Metro;Yurikamome,high,2
st_00081,Takeshiba,竹芝,odpt,35.654000,139.761920,Tokyo,Yurikamome,single,1
st_00082,Shibakoen,芝公園,odpt,35.654186,139.749850,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00083,Akabanebashi,赤羽橋,odpt,35.654985,139.743989,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00084,Hodokubo,程久保,odpt,35.655200,139.410800,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00085,Azabu-juban,麻布十番,odpt,35.655629,139.736688,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00086,Hamamatsucho,浜松町,odpt,35.656771,139.755188,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation;Tokyo Monorail,high,5
st_00087,Kachidoki,勝どき,odpt,35.658934,139.777138,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00088,Shibuya,渋谷,odpt,35.659213,139.702093,Tokyo,JR East;Keio Corporation;Tokyo Metro;Tokyu Railways,high,9
st_00089,Onarimon,御成門,odpt,35.660774,139.751366,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00090,Takahatafudo,高幡不動,odpt,35.661300,139.415200,Tokyo,Keio Corporation;Tokyo Tama Intercity Monorail,high,3
st_00091,Kamiyacho,神谷町,odpt,35.662625,139.744725,Tokyo,Tokyo Metro,single,1
st_00092,Shiodome,汐留,odpt,35.663002,139.760027,Tokyo,Tokyo Metropolitan Bureau of Transportation;Yurikamome,high,2
st_00093,Kasai,葛西,odpt,35.663616,139.872530,Tokyo,Tokyo Metro,single,1
st_00094,Tsukishima,月島,odpt,35.664234,139.784158,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
